Nama Siswa,Kelas,Tahun Ajaran,Jumlah Kehadiran,Kategori Kehadiran,Nilai Rata-rata,Kategori Nilai,Jumlah Pelanggaran,Kategori Pelanggaran,Pekerjaan Orang Tua,Penghasilan Orang Tua,Status SPP,Status Orang Tua,Risiko Drop-Out
Cemeti Siregar,8C,2025/2026,194,Kurang,97.8,Tinggi,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Amalia Widodo,7C,2024/2025,230,Sangat Baik,88.1,Tinggi,1,Ringan,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Damar Purnawati,7A,2025/2026,204,Baik,95.8,Tinggi,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Drajat Wulandari,9A,2023/2024,224,Sangat Baik,96.3,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Heryanto Latupono,8A,2025/2026,224,Sangat Baik,90.9,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Ayu Suryatmi,9B,2025/2026,207,Baik,83.8,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Daryani Habibi,7B,2024/2025,191,Kurang,95.8,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Eva Lailasari,8A,2024/2025,187,Kurang,77.4,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Rahayu Laksita,9B,2023/2024,203,Baik,72.5,Rendah,0,Tidak Ada,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Ghaliyati Padmasari,8A,2023/2024,228,Sangat Baik,86.3,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Tania Haryanto,8B,2024/2025,234,Sangat Baik,81.3,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Taufik Mulyani,7B,2025/2026,228,Sangat Baik,67.1,Rendah,1,Ringan,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Legawa Puspita,7B,2024/2025,215,Baik,66.2,Rendah,1,Ringan,Buruh/Petani,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Diana Hassanah,7B,2023/2024,240,Sangat Baik,83.8,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Upik Tamba,8A,2024/2025,214,Baik,67.7,Rendah,10,Sedang/Berat,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Hamima Mangunsong,8C,2024/2025,189,Kurang,65.5,Rendah,3,Sedang/Berat,Tidak Bekerja,< Rp 2.000.000,Menunggak 1-2 Bulan,Yatim,Tinggi
Jamil Pratiwi,8C,2025/2026,206,Baik,88.7,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Ikhsan Samosir,8B,2023/2024,238,Sangat Baik,69.8,Rendah,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Azalea Wibowo,9C,2025/2026,229,Sangat Baik,93.3,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Endah Santoso,9B,2024/2025,182,Kurang,69.7,Rendah,1,Ringan,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Tinggi
Karja Handayani,8A,2023/2024,193,Kurang,97.0,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Adika Pudjiastuti,9C,2024/2025,209,Baik,68.7,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Belinda Pradipta,8B,2025/2026,181,Kurang,68.5,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Jabal Uwais,9C,2024/2025,225,Sangat Baik,90.0,Tinggi,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Rini Hidayat,8A,2024/2025,217,Baik,85.3,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Lala Siregar,9A,2024/2025,229,Sangat Baik,78.0,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Najwa Yolanda,7C,2024/2025,228,Sangat Baik,87.8,Tinggi,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Ami Kuswandari,9C,2023/2024,194,Kurang,65.8,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Tirta Sinaga,8B,2025/2026,224,Sangat Baik,68.7,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Ivan Thamrin,8C,2023/2024,224,Sangat Baik,76.8,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Rendah
Irma Sudiati,7C,2024/2025,212,Baik,92.6,Tinggi,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Bakiono Melani,8A,2025/2026,180,Kurang,90.3,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Azalea Hasanah,7C,2024/2025,233,Sangat Baik,90.5,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Icha Wijayanti,9C,2025/2026,232,Sangat Baik,66.2,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Dodo Ardianto,9A,2024/2025,203,Baik,77.8,Sedang,1,Ringan,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Sedang
Enteng Prastuti,8B,2024/2025,213,Baik,81.1,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Yatim,Rendah
Sutan Lega Samosir,9A,2023/2024,180,Kurang,74.4,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Aris Sitompul,7B,2025/2026,180,Kurang,80.7,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Yatim Piatu,Sedang
Raihan Pudjiastuti,7A,2025/2026,185,Kurang,83.5,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Elon Sitompul,7A,2025/2026,234,Sangat Baik,94.1,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Indah Wulandari,9A,2023/2024,212,Baik,71.6,Rendah,0,Tidak Ada,Tidak Bekerja,> Rp 5.000.000,Lancar,Lengkap,Sedang
Bakidin Nababan,9C,2024/2025,240,Sangat Baik,97.7,Tinggi,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Prayitna Tarihoran,8B,2024/2025,183,Kurang,88.6,Tinggi,2,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Taswir Sudiati,7A,2024/2025,211,Baik,83.1,Sedang,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Yatim,Rendah
Utama Winarsih,7B,2025/2026,205,Baik,94.8,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Cakrabirawa Nashiruddin,8A,2025/2026,239,Sangat Baik,69.1,Rendah,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Mutia Pangestu,7C,2024/2025,196,Kurang,69.2,Rendah,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Tinggi
Wahyu Suryatmi,8A,2023/2024,233,Sangat Baik,85.8,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Sitompul,7A,2024/2025,235,Sangat Baik,88.2,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Rahayu Marbun,7A,2024/2025,222,Sangat Baik,90.8,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Kala Dongoran,7A,2024/2025,230,Sangat Baik,92.0,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Jamalia Suwarno,7A,2023/2024,225,Sangat Baik,85.0,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Sakura Iswahyudi,8C,2024/2025,228,Sangat Baik,69.1,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Nilam Halim,7B,2025/2026,227,Sangat Baik,68.2,Rendah,2,Ringan,Karyawan Swasta,< Rp 2.000.000,Lancar,Yatim,Sedang
Umar Pertiwi,7C,2024/2025,223,Sangat Baik,91.7,Tinggi,3,Sedang/Berat,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Sutan Dwi Padmasari,8C,2025/2026,200,Baik,76.1,Sedang,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Asman Waskita,9B,2025/2026,231,Sangat Baik,84.5,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Pia Puspasari,8A,2025/2026,239,Sangat Baik,87.0,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Eka Ardianto,8C,2024/2025,186,Kurang,74.8,Rendah,2,Ringan,Tidak Bekerja,< Rp 2.000.000,Lancar,Lengkap,Tinggi
Wakiman Haryanto,9A,2025/2026,238,Sangat Baik,94.4,Tinggi,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Martaka Saputra,7B,2024/2025,221,Sangat Baik,90.1,Tinggi,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Cawisadi Tarihoran,8C,2025/2026,222,Sangat Baik,96.0,Tinggi,2,Ringan,Karyawan Swasta,> Rp 5.000.000,Menunggak >2 Bulan,Piatu,Rendah
Banawi Mandasari,7B,2023/2024,183,Kurang,73.3,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Tugiman Widodo,7C,2025/2026,229,Sangat Baik,78.1,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Jarwa Ramadan,7A,2023/2024,197,Kurang,74.8,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Bella Napitupulu,8C,2024/2025,234,Sangat Baik,89.8,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Taufik Farida,7C,2025/2026,193,Kurang,67.4,Rendah,2,Ringan,Karyawan Swasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Rika Hidayat,7B,2025/2026,225,Sangat Baik,85.5,Tinggi,2,Ringan,Tidak Bekerja,> Rp 5.000.000,Lancar,Lengkap,Rendah
Vino Nababan,7B,2023/2024,221,Sangat Baik,82.5,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Dalimin Putra,8B,2023/2024,194,Kurang,82.2,Sedang,3,Sedang/Berat,Karyawan Swasta,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Rusman Zulaika,9B,2024/2025,207,Baik,78.5,Sedang,1,Ringan,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Pardi Wahyudin,9A,2024/2025,221,Sangat Baik,92.3,Tinggi,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Talia Puspita,7C,2023/2024,229,Sangat Baik,94.2,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Harjaya Hutagalung,7C,2025/2026,212,Baik,71.4,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Jarwa Manullang,7C,2023/2024,232,Sangat Baik,92.5,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Genta Prasetyo,7B,2025/2026,210,Baik,69.6,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Umi Halim,9C,2025/2026,217,Baik,85.0,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Lidya Narpati,9A,2023/2024,216,Baik,81.5,Sedang,3,Sedang/Berat,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Bahuwarna Puspita,9C,2025/2026,226,Sangat Baik,89.6,Tinggi,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Rendah
Ani Natsir,8A,2023/2024,194,Kurang,79.7,Sedang,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Kasiran Agustina,7C,2023/2024,226,Sangat Baik,80.6,Sedang,5,Sedang/Berat,Karyawan Swasta,< Rp 2.000.000,Menunggak >2 Bulan,Yatim Piatu,Sedang
Bakda Rahimah,8A,2024/2025,186,Kurang,97.2,Tinggi,1,Ringan,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Mahdi Hutasoit,8B,2025/2026,238,Sangat Baik,74.5,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Ulya Yuniar,9C,2023/2024,200,Baik,94.7,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Kardi Marpaung,7B,2025/2026,195,Kurang,98.1,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Adhiarja Wijaya,9B,2024/2025,184,Kurang,95.2,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Genta Permadi,8A,2025/2026,233,Sangat Baik,66.1,Rendah,0,Tidak Ada,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Juli Hutasoit,7A,2024/2025,187,Kurang,80.9,Sedang,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Kamal Rajata,8A,2024/2025,180,Kurang,85.1,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Piatu,Sedang
Atmaja Haryanto,7C,2025/2026,210,Baik,72.9,Rendah,3,Sedang/Berat,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Sutan Limar Marbun,8B,2025/2026,238,Sangat Baik,86.5,Tinggi,5,Sedang/Berat,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Hasan Sirait,9A,2023/2024,226,Sangat Baik,94.1,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Omar Riyanti,7B,2025/2026,233,Sangat Baik,90.1,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Nova Mandala,7B,2025/2026,240,Sangat Baik,75.4,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Safina Nainggolan,9A,2023/2024,225,Sangat Baik,77.9,Sedang,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Wani Permata,9B,2025/2026,237,Sangat Baik,65.7,Rendah,1,Ringan,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Salimah Palastri,8B,2025/2026,210,Baik,69.9,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Agus Maulana,7B,2025/2026,229,Sangat Baik,67.2,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Sedang
Maria Sihombing,8B,2023/2024,192,Kurang,95.7,Tinggi,3,Sedang/Berat,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Kawaca Kusmawati,8B,2024/2025,195,Kurang,75.2,Sedang,10,Sedang/Berat,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Kayla Sihombing,8A,2025/2026,216,Baik,85.2,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Mujur Maulana,7C,2023/2024,219,Baik,91.1,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Talia Ramadan,8A,2024/2025,181,Kurang,92.7,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Jaeman Setiawan,9C,2025/2026,232,Sangat Baik,86.4,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Virman Hidayat,7C,2023/2024,188,Kurang,97.9,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Shania Gunawan,9B,2025/2026,200,Baik,65.6,Rendah,2,Ringan,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Yatim,Tinggi
Elma Habibi,7B,2024/2025,185,Kurang,85.2,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Ayu Uwais,9C,2025/2026,228,Sangat Baik,71.3,Rendah,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Najwa Yulianti,7B,2024/2025,220,Sangat Baik,75.0,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Hendri Yulianti,8C,2025/2026,227,Sangat Baik,72.9,Rendah,5,Sedang/Berat,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Dodo Gunarto,8B,2024/2025,195,Kurang,87.1,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Yuni Kuswandari,7B,2024/2025,213,Baik,65.4,Rendah,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Ellis Hutapea,8B,2024/2025,211,Baik,88.7,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Ridwan Winarno,9A,2023/2024,226,Sangat Baik,84.0,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Piatu,Rendah
Galuh Pratiwi,9A,2023/2024,197,Kurang,68.5,Rendah,1,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Yatim,Tinggi
Michelle Kuswoyo,8B,2024/2025,183,Kurang,83.3,Sedang,3,Sedang/Berat,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Najwa Sihombing,7A,2024/2025,231,Sangat Baik,70.5,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Sedang
Warji Latupono,7A,2024/2025,238,Sangat Baik,77.8,Sedang,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Prayoga,8A,2025/2026,187,Kurang,95.0,Tinggi,5,Sedang/Berat,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Kezia Jailani,8B,2025/2026,219,Baik,80.8,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Uli Saragih,7C,2025/2026,210,Baik,72.1,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Hendri Simbolon,7A,2023/2024,215,Baik,96.4,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Rendah
Rini Siregar,8C,2025/2026,197,Kurang,88.6,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Fitriani Kuswandari,8B,2025/2026,205,Baik,98.1,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Viktor Winarno,8B,2023/2024,221,Sangat Baik,75.0,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Mustika Dongoran,8A,2024/2025,218,Baik,92.2,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Legawa Saptono,9C,2025/2026,198,Kurang,69.0,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Bakianto Winarsih,7B,2025/2026,209,Baik,87.5,Tinggi,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Alika Sudiati,9B,2024/2025,221,Sangat Baik,83.3,Sedang,10,Sedang/Berat,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Raina Prasasta,7A,2024/2025,205,Baik,86.5,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Dinda Mahendra,7A,2025/2026,187,Kurang,85.0,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Kania Lailasari,7C,2023/2024,196,Kurang,98.3,Tinggi,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Menunggak >2 Bulan,Yatim,Sedang
Puti Nadia Yuniar,7C,2023/2024,183,Kurang,68.4,Rendah,2,Ringan,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Yatim Piatu,Tinggi
Febi Firgantoro,8C,2024/2025,199,Kurang,68.2,Rendah,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Harja Rahmawati,9A,2023/2024,233,Sangat Baik,87.7,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Panji Wijaya,9A,2023/2024,199,Kurang,93.7,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Ulva Haryanti,7B,2024/2025,207,Baik,93.8,Tinggi,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Rendah
Nasrullah Wacana,7B,2023/2024,194,Kurang,70.9,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Gara Padmasari,8C,2023/2024,224,Sangat Baik,82.5,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Anastasia Santoso,9B,2025/2026,200,Baik,78.5,Sedang,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Lukman Nasyiah,8C,2025/2026,182,Kurang,69.6,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Tinggi
Sutan Vero Adriansyah,8C,2025/2026,214,Baik,79.3,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Ade Gunarto,8C,2025/2026,228,Sangat Baik,66.7,Rendah,1,Ringan,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Sedang
Sidiq Suwarno,7B,2025/2026,235,Sangat Baik,77.3,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Mursinin Hassanah,9A,2024/2025,234,Sangat Baik,79.1,Sedang,2,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Septi Usada,7C,2023/2024,215,Baik,77.9,Sedang,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Cinthia Hariyah,9C,2024/2025,180,Kurang,72.1,Rendah,3,Sedang/Berat,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Tinggi
Queen Irawan,9B,2025/2026,212,Baik,85.3,Tinggi,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Harja Anggriawan,9A,2023/2024,237,Sangat Baik,97.7,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Naradi Sitompul,8A,2024/2025,206,Baik,87.3,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Damar Hidayanto,9B,2024/2025,185,Kurang,75.3,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Endra Rahayu,7C,2024/2025,203,Baik,94.7,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Irma Padmasari,8A,2024/2025,210,Baik,90.9,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Prayitna Hakim,8B,2024/2025,221,Sangat Baik,82.1,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Melinda Winarno,7A,2024/2025,239,Sangat Baik,96.4,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
